-----------------------------------------------------------------------------------------------------

OPTICAL/UV/NIR DATA
      Time        Exposure(s)  Mag        Magerr        Filter   Telescope
   -100.8000031     -0.0887000      0.1091000     -0.1524000      0.1112000      0.0728000      0.1011000      0.0676000      0.0959000     -0.1007000      0.2090000     BAT
   -100.7360001     -0.0530000      0.1086000     -0.0308000      0.1156000      0.0162000      0.1002000     -0.1558000      0.1085000     -0.2234000      0.2167000     BAT
   -100.6719971     -0.1794000      0.1159000     -0.0765000      0.1063000      0.0624000      0.1040000      0.0416000      0.1004000     -0.1519000      0.2136000     BAT
   -100.6080017      0.0050000      0.1125000     -0.1069000      0.0988000     -0.0528000      0.1029000     -0.0166000      0.0932000     -0.1713000      0.2042000     BAT
   -100.5439987      0.0750000      0.1139000      0.0134000      0.1040000      0.0728000      0.1037000      0.1545000      0.0872000      0.3157000      0.2053000     BAT
   -100.4800034      0.0114000      0.1095000     -0.1249000      0.1076000     -0.0017000      0.1018000     -0.0387000      0.0900000     -0.1539000      0.2050000     BAT
   -100.4160004      0.1694000      0.1105000      0.1755000      0.1175000      0.0708000      0.1052000     -0.0280000      0.0972000      0.3877000      0.2157000     BAT
   -100.3519974      0.1250000      0.1107000     -0.1064000      0.1014000      0.1541000      0.1051000     -0.0140000      0.0991000      0.1588000      0.2083000     BAT
   -100.2880020     -0.1461000      0.1052000     -0.2296000      0.1202000      0.0280000      0.0991000     -0.0444000      0.0926000     -0.3922000      0.2096000     BAT
   -100.2239990     -0.0377000      0.1082000      0.0209000      0.1063000     -0.0637000      0.0902000     -0.1523000      0.0966000     -0.2328000      0.2011000     BAT
   -100.1600037     -0.0781000      0.1038000     -0.0093000      0.1036000      0.0080000      0.1079000     -0.0804000      0.0893000     -0.1598000      0.2027000     BAT
   -100.0960007      0.0246000      0.1077000      0.1081000      0.1029000      0.0482000      0.0958000      0.1649000      0.0878000      0.3458000      0.1976000     BAT
   -100.0319977     -0.1181000      0.1082000     -0.0476000      0.1130000     -0.0114000      0.0947000     -0.0952000      0.0928000     -0.2723000      0.2051000     BAT
    -99.9680023      0.0314000      0.1143000     -0.0896000      0.1123000     -0.0587000      0.1155000     -0.1182000      0.0951000     -0.2351000      0.2193000     BAT
    -99.9039993     -0.1167000      0.1090000      0.0092000      0.1052000     -0.0699000      0.1136000     -0.0173000      0.0920000     -0.1948000      0.2106000     BAT
    -99.8399963     -0.0564000      0.1066000      0.0025000      0.1128000     -0.0015000      0.1146000     -0.1748000      0.0949000     -0.2302000      0.2150000     BAT
    -99.7760010      0.0897000      0.1102000     -0.0560000      0.1077000      0.0685000      0.1006000     -0.0120000      0.0978000      0.0902000      0.2084000     BAT
    -99.7119980      0.1226000      0.1065000      0.1454000      0.1102000      0.0454000      0.1007000     -0.0005000      0.0994000      0.3129000      0.2086000     BAT
    -99.6480026      0.1669000      0.1068000     -0.1821000      0.1100000     -0.1935000      0.1045000      0.1424000      0.1014000     -0.0663000      0.2115000     BAT
    -99.5839996     -0.1784000      0.1182000     -0.0125000      0.1159000     -0.0242000      0.0920000     -0.0023000      0.0850000     -0.2173000      0.2076000     BAT
    -99.5199966      0.1862000      0.0967000      0.2641000      0.1025000      0.0502000      0.1038000     -0.0064000      0.0891000      0.4940000      0.1964000     BAT
    -99.4560013     -0.1860000      0.1090000     -0.2019000      0.1147000     -0.0048000      0.0863000     -0.0153000      0.0903000     -0.4080000      0.2016000     BAT
    -99.3919983      0.0501000      0.1085000     -0.0226000      0.1052000     -0.0318000      0.0988000     -0.0106000      0.0967000     -0.0149000      0.2048000     BAT
    -99.3280029     -0.0011000      0.1005000      0.1054000      0.1141000      0.0136000      0.0937000     -0.0082000      0.0925000      0.1097000      0.2011000     BAT
    -99.2639999     -0.1577000      0.0967000      0.0428000      0.1071000     -0.0089000      0.1043000     -0.0157000      0.0959000     -0.1395000      0.2022000     BAT
    -99.1999969     -0.1064000      0.1071000     -0.1381000      0.1139000     -0.1290000      0.1084000     -0.0867000      0.0891000     -0.4602000      0.2101000     BAT
    -99.1360016      0.0546000      0.1125000      0.0465000      0.1184000     -0.1318000      0.0989000     -0.0182000      0.0948000     -0.0490000      0.2132000     BAT
    -99.0719986      0.1428000      0.1032000     -0.0985000      0.1048000      0.0222000      0.1035000      0.1173000      0.0859000      0.1838000      0.1993000     BAT
    -99.0080032     -0.1133000      0.1048000     -0.1356000      0.1130000      0.0313000      0.0947000     -0.0070000      0.0915000     -0.2246000      0.2027000     BAT
    -98.9440002      0.1779000      0.1001000     -0.0057000      0.1156000      0.0068000      0.0984000      0.0422000      0.0949000      0.2211000      0.2051000     BAT
    -98.8799973     -0.0623000      0.1047000      0.0456000      0.1145000      0.0987000      0.0902000      0.1236000      0.0864000      0.2056000      0.1992000     BAT
    -98.8160019      0.0189000      0.1046000      0.0797000      0.1136000     -0.0473000      0.0975000     -0.1062000      0.0904000     -0.0550000      0.2038000     BAT
    -98.7519989     -0.1483000      0.1028000     -0.1583000      0.1113000     -0.0579000      0.1140000      0.1016000      0.0978000     -0.2628000      0.2134000     BAT
    -98.6880035     -0.0991000      0.1094000     -0.0240000      0.1110000      0.0528000      0.1052000      0.1035000      0.0872000      0.0332000      0.2072000     BAT
    -98.6240005      0.0478000      0.1092000     -0.1088000      0.1069000      0.1424000      0.1090000     -0.0341000      0.0873000      0.0473000      0.2070000     BAT
    -98.5599976      0.0496000      0.1027000      0.0854000      0.1143000      0.0889000      0.1087000      0.0295000      0.0880000      0.2534000      0.2078000     BAT
    -98.4960022      0.0438000      0.1005000      0.0426000      0.1025000      0.2679000      0.1024000      0.0423000      0.1008000      0.3966000      0.2031000     BAT
    -98.4319992      0.1201000      0.1082000     -0.0687000      0.1211000     -0.0144000      0.1028000      0.0271000      0.0902000      0.0642000      0.2123000     BAT
    -98.3679962     -0.1139000      0.1056000     -0.0003000      0.1037000      0.0534000      0.0808000     -0.0355000      0.0850000     -0.0962000      0.1888000     BAT
    -98.3040009      0.0786000      0.1123000      0.2821000      0.1136000     -0.0760000      0.0982000      0.0066000      0.0819000      0.2912000      0.2046000     BAT
    -98.2399979     -0.0950000      0.1086000      0.1393000      0.1114000      0.0384000      0.0825000      0.1107000      0.0953000      0.1935000      0.2002000     BAT
    -98.1760025      0.0797000      0.1027000     -0.0412000      0.1083000     -0.0032000      0.0937000      0.0922000      0.0819000      0.1275000      0.1943000     BAT
    -98.1119995     -0.0464000      0.1140000      0.0040000      0.1090000      0.0871000      0.1063000     -0.0125000      0.0876000      0.0322000      0.2094000     BAT
    -98.0479965     -0.0011000      0.1160000      0.0164000      0.1210000     -0.1253000      0.1065000      0.0714000      0.0970000     -0.0386000      0.2210000     BAT
    -97.9840012      0.0158000      0.1015000     -0.0530000      0.1052000     -0.0814000      0.1049000      0.0097000      0.1033000     -0.1090000      0.2075000     BAT
    -97.9199982      0.1613000      0.1053000      0.0808000      0.1097000     -0.0016000      0.1034000     -0.0484000      0.0902000      0.1921000      0.2049000     BAT
    -97.8560028      0.0172000      0.1095000      0.0181000      0.1073000     -0.0217000      0.1035000      0.0268000      0.0933000      0.0404000      0.2072000     BAT
    -97.7919998     -0.1989000      0.1059000      0.1817000      0.1142000      0.0038000      0.0934000      0.0413000      0.0808000      0.0279000      0.1988000     BAT
    -97.7279968     -0.1378000      0.1122000     -0.0483000      0.1106000      0.1138000      0.0973000      0.1307000      0.1023000      0.0583000      0.2116000     BAT
    -97.6640015      0.2078000      0.1051000     -0.0676000      0.1094000      0.0010000      0.1012000     -0.0458000      0.0875000      0.0954000      0.2022000     BAT
    -97.5999985     -0.0402000      0.1118000      0.0789000      0.1081000     -0.0103000      0.0984000      0.1258000      0.0901000      0.1542000      0.2050000     BAT
    -97.5360031     -0.1874000      0.1112000      0.1268000      0.1063000     -0.0226000      0.1040000      0.0978000      0.0951000      0.0146000      0.2086000     BAT
    -97.4720001      0.0516000      0.1066000     -0.0150000      0.1106000     -0.0650000      0.1067000      0.0772000      0.0986000      0.0489000      0.2114000     BAT
    -97.4079971      0.0419000      0.1025000      0.0134000      0.1131000      0.2110000      0.0980000     -0.2085000      0.1039000      0.0578000      0.2090000     BAT
    -97.3440018     -0.0427000      0.1127000      0.0311000      0.0988000     -0.2640000      0.1039000      0.0620000      0.0965000     -0.2135000      0.2063000     BAT
    -97.2799988      0.0364000      0.1099000     -0.1900000      0.1091000      0.1737000      0.1035000      0.0419000      0.0873000      0.0620000      0.2057000     BAT
    -97.2160034      0.0936000      0.1028000     -0.0293000      0.1140000     -0.0851000      0.0997000      0.0028000      0.1041000     -0.0180000      0.2105000     BAT
    -97.1520004      0.0611000      0.0924000     -0.0130000      0.1073000     -0.0955000      0.1000000      0.0401000      0.0947000     -0.0074000      0.1975000     BAT
    -97.0879974     -0.1783000      0.1128000      0.0052000      0.1104000      0.0114000      0.1012000     -0.0768000      0.0901000     -0.2385000      0.2080000     BAT
    -97.0240021     -0.0263000      0.1081000     -0.0237000      0.1006000     -0.2215000      0.1086000      0.1722000      0.0913000     -0.0994000      0.2047000     BAT
    -96.9599991     -0.0474000      0.1094000     -0.0358000      0.0993000      0.0965000      0.0992000     -0.0076000      0.0873000      0.0057000      0.1982000     BAT
    -96.8960037     -0.0669000      0.1039000     -0.0796000      0.1088000      0.0906000      0.0859000     -0.0497000      0.0887000     -0.1056000      0.1946000     BAT
    -96.8320007     -0.2440000      0.1024000      0.0102000      0.1101000      0.2695000      0.1071000      0.0259000      0.0883000      0.0617000      0.2046000     BAT
    -96.7679977     -0.1192000      0.1085000     -0.0676000      0.1101000      0.0473000      0.1054000     -0.0141000      0.0926000     -0.1535000      0.2087000     BAT
    -96.7040024      0.0141000      0.1093000     -0.0632000      0.1112000     -0.0629000      0.1075000      0.1815000      0.1037000      0.0695000      0.2159000     BAT
    -96.6399994     -0.0830000      0.1045000      0.0342000      0.1127000     -0.0341000      0.1037000      0.0890000      0.0954000      0.0061000      0.2086000     BAT
    -96.5759964      0.0524000      0.1095000      0.0915000      0.1054000     -0.1217000      0.1006000     -0.1264000      0.0859000     -0.1041000      0.2015000     BAT
    -96.5120010      0.0109000      0.1021000      0.0398000      0.1207000      0.1049000      0.0989000     -0.0516000      0.0846000      0.1039000      0.2048000     BAT
    -96.4479980      0.1206000      0.1031000     -0.0251000      0.1040000     -0.0320000      0.1054000     -0.0220000      0.0891000      0.0415000      0.2012000     BAT
    -96.3840027     -0.0456000      0.1086000     -0.1024000      0.1216000      0.1401000      0.1056000      0.0369000      0.0876000      0.0290000      0.2131000     BAT
    -96.3199997     -0.2186000      0.1100000      0.0310000      0.1107000     -0.1212000      0.0984000     -0.0833000      0.0741000     -0.3922000      0.1988000     BAT
    -96.2559967     -0.2132000      0.1062000      0.0430000      0.1144000     -0.1712000      0.1113000      0.0202000      0.1042000     -0.3212000      0.2182000     BAT
    -96.1920013      0.1477000      0.1048000     -0.0186000      0.1036000      0.0997000      0.1077000     -0.0362000      0.0976000      0.1925000      0.2070000     BAT
    -96.1279984     -0.0700000      0.1161000     -0.1659000      0.1193000      0.1288000      0.0976000     -0.0871000      0.0863000     -0.1942000      0.2114000     BAT
    -96.0640030     -0.0703000      0.1034000      0.0312000      0.1133000     -0.0294000      0.1011000      0.0291000      0.1012000     -0.0394000      0.2098000     BAT
    -96.0000000      0.1541000      0.1112000      0.0831000      0.1030000     -0.1343000      0.1034000     -0.0899000      0.0923000      0.0130000      0.2054000     BAT
    -95.9359970      0.0201000      0.1041000     -0.0343000      0.1082000      0.1207000      0.0861000     -0.0261000      0.0948000      0.0804000      0.1973000     BAT
    -95.8720016      0.0288000      0.1058000      0.0266000      0.1098000     -0.2150000      0.1026000      0.0853000      0.0961000     -0.0743000      0.2074000     BAT
    -95.8079987     -0.0452000      0.1003000     -0.0480000      0.0982000      0.0349000      0.1068000     -0.0093000      0.0968000     -0.0676000      0.2012000     BAT
    -95.7440033     -0.1270000      0.1000000      0.0008000      0.1006000      0.0764000      0.0940000      0.0395000      0.0864000     -0.0103000      0.1909000     BAT
    -95.6800003     -0.1244000      0.1083000      0.0653000      0.1025000      0.0280000      0.1041000      0.0141000      0.0966000     -0.0169000      0.2059000     BAT
    -95.6159973      0.1058000      0.0986000      0.0558000      0.1044000      0.1965000      0.0969000      0.1653000      0.0928000      0.5234000      0.1966000     BAT
    -95.5520020      0.0583000      0.1028000      0.0392000      0.1052000     -0.1030000      0.1029000      0.0149000      0.0891000      0.0095000      0.2004000     BAT
    -95.4879990      0.1730000      0.1037000     -0.1199000      0.1128000      0.1371000      0.1028000      0.0765000      0.0930000      0.2667000      0.2066000     BAT
    -95.4240036      0.0430000      0.1105000     -0.0908000      0.1151000     -0.0922000      0.1020000     -0.0473000      0.0970000     -0.1872000      0.2128000     BAT
    -95.3600006      0.0665000      0.1074000     -0.0309000      0.1111000      0.0618000      0.0992000      0.1544000      0.0937000      0.2517000      0.2062000     BAT
    -95.2959976     -0.0951000      0.1115000      0.1633000      0.1054000     -0.0416000      0.0853000     -0.0744000      0.0872000     -0.0478000      0.1960000     BAT
    -95.2320023      0.0080000      0.1050000      0.0033000      0.1069000     -0.1593000      0.0970000     -0.1429000      0.0912000     -0.2909000      0.2004000     BAT
    -95.1679993     -0.0143000      0.0945000     -0.0784000      0.1181000     -0.0306000      0.0964000      0.0978000      0.0864000     -0.0256000      0.1991000     BAT
    -95.1039963      0.0512000      0.1006000     -0.0874000      0.1065000     -0.0888000      0.0971000      0.0216000      0.0963000     -0.1034000      0.2004000     BAT
    -95.0400009     -0.0999000      0.0972000     -0.0570000      0.1072000     -0.0641000      0.1000000      0.0034000      0.0935000     -0.2175000      0.1992000     BAT
    -94.9759979     -0.1677000      0.1054000     -0.0777000      0.1124000      0.0543000      0.0961000      0.0611000      0.0900000     -0.1301000      0.2027000     BAT
    -94.9120026     -0.1272000      0.0970000     -0.0296000      0.1164000     -0.0472000      0.0984000     -0.0233000      0.0881000     -0.2274000      0.2010000     BAT
    -94.8479996     -0.0430000      0.1021000     -0.0160000      0.1108000      0.0019000      0.1019000      0.0399000      0.1045000     -0.0172000      0.2098000     BAT
    -94.7839966      0.1105000      0.1030000      0.0993000      0.1151000     -0.1021000      0.0993000     -0.0227000      0.1011000      0.0850000      0.2096000     BAT
    -94.7200012      0.1428000      0.1087000      0.2459000      0.1203000      0.0057000      0.1028000     -0.0542000      0.0964000      0.3402000      0.2148000     BAT
    -94.6559982     -0.2191000      0.1074000      0.1145000      0.1082000      0.1636000      0.1025000     -0.0272000      0.0987000      0.0318000      0.2085000     BAT
    -94.5920029      0.0871000      0.1129000     -0.0427000      0.1099000      0.1189000      0.1006000     -0.0607000      0.0915000      0.1026000      0.2081000     BAT
    -94.5279999      0.1526000      0.1083000     -0.0794000      0.1133000      0.1635000      0.1063000     -0.0418000      0.1025000      0.1949000      0.2153000     BAT
    -94.4639969     -0.0089000      0.1113000      0.1152000      0.1146000     -0.0742000      0.1069000     -0.1303000      0.0886000     -0.0982000      0.2116000     BAT
    -94.4000015     -0.0131000      0.1061000      0.0688000      0.1085000      0.0209000      0.0975000      0.0122000      0.0922000      0.0887000      0.2026000     BAT
    -94.3359985     -0.0680000      0.1122000     -0.1346000      0.1123000      0.0668000      0.1034000     -0.1034000      0.0970000     -0.2393000      0.2129000     BAT
    -94.2720032      0.0150000      0.1093000     -0.0880000      0.1137000     -0.1409000      0.0980000      0.1102000      0.0922000     -0.1037000      0.2074000     BAT
    -94.2080002      0.0418000      0.1075000     -0.1158000      0.1068000     -0.0344000      0.1104000      0.0166000      0.1121000     -0.0917000      0.2184000     BAT
    -94.1439972      0.0877000      0.1083000      0.0479000      0.1130000      0.1469000      0.1082000     -0.0375000      0.0802000      0.2450000      0.2065000     BAT
    -94.0800018     -0.0433000      0.1092000      0.0170000      0.1147000     -0.0855000      0.1049000      0.0180000      0.0908000     -0.0938000      0.2105000     BAT
    -94.0159988     -0.1172000      0.1044000     -0.1690000      0.1071000      0.0990000      0.1042000     -0.1186000      0.0926000     -0.3059000      0.2044000     BAT
    -93.9520035      0.0497000      0.1009000     -0.1126000      0.1140000     -0.0105000      0.1069000     -0.0352000      0.1119000     -0.1086000      0.2170000     BAT
    -93.8880005      0.0593000      0.1021000      0.2188000      0.1173000      0.0286000      0.0916000     -0.0514000      0.0870000      0.2553000      0.2004000     BAT
    -93.8239975      0.0228000      0.1055000      0.1429000      0.0948000      0.0754000      0.1107000      0.0578000      0.0900000      0.2989000      0.2012000     BAT
    -93.7600021     -0.0071000      0.1028000     -0.1121000      0.1070000      0.1598000      0.0980000      0.0760000      0.0972000      0.1166000      0.2026000     BAT
    -93.6959991     -0.0160000      0.1004000     -0.2268000      0.1049000      0.1823000      0.0985000     -0.1328000      0.0960000     -0.1933000      0.2000000     BAT
    -93.6320038      0.0365000      0.1117000     -0.0246000      0.1103000     -0.0180000      0.1059000     -0.1612000      0.0844000     -0.1674000      0.2073000     BAT
    -93.5680008     -0.0397000      0.0990000     -0.1112000      0.1056000      0.2753000      0.0989000      0.0609000      0.0934000      0.1853000      0.1986000     BAT
    -93.5039978     -0.0638000      0.1020000      0.0005000      0.1144000     -0.0651000      0.0909000     -0.2130000      0.0898000     -0.3414000      0.1996000     BAT
    -93.4400024     -0.0205000      0.1055000      0.1339000      0.1172000     -0.0039000      0.1078000     -0.0457000      0.1047000      0.0637000      0.2178000     BAT
    -93.3759995     -0.0440000      0.1082000      0.0041000      0.1041000     -0.0281000      0.0997000     -0.0245000      0.0894000     -0.0925000      0.2012000     BAT
    -93.3119965      0.1951000      0.1118000      0.1774000      0.1137000     -0.0863000      0.1049000     -0.0084000      0.0922000      0.2779000      0.2120000     BAT
    -93.2480011     -0.0740000      0.1158000      0.0062000      0.1132000      0.0138000      0.1054000     -0.0616000      0.1064000     -0.1157000      0.2206000     BAT
    -93.1839981     -0.0551000      0.1099000     -0.0665000      0.1130000      0.0076000      0.0992000      0.0745000      0.0999000     -0.0395000      0.2113000     BAT
    -93.1200027      0.0621000      0.1138000      0.0368000      0.1024000      0.1883000      0.1123000     -0.0377000      0.0931000      0.2495000      0.2114000     BAT
    -93.0559998     -0.1497000      0.1124000     -0.0729000      0.1095000      0.0063000      0.0991000     -0.2514000      0.0971000     -0.4677000      0.2095000     BAT
    -92.9919968      0.1424000      0.1062000     -0.0234000      0.1111000      0.0121000      0.1027000      0.2068000      0.0928000      0.3379000      0.2068000     BAT
    -92.9280014      0.0309000      0.1066000      0.0449000      0.1072000      0.0703000      0.1026000     -0.0519000      0.0975000      0.0942000      0.2071000     BAT
    -92.8639984     -0.0289000      0.1085000     -0.0956000      0.1190000      0.1648000      0.1050000     -0.0898000      0.0872000     -0.0495000      0.2111000     BAT
    -92.8000031      0.0256000      0.1023000     -0.0351000      0.1056000      0.0146000      0.0970000     -0.1028000      0.0943000     -0.0978000      0.1997000     BAT
    -92.7360001      0.0276000      0.1108000     -0.1307000      0.1050000     -0.0276000      0.0898000      0.0504000      0.0949000     -0.0803000      0.2009000     BAT
    -92.6719971      0.1119000      0.1048000     -0.0870000      0.1108000     -0.0923000      0.0957000      0.1282000      0.1011000      0.0607000      0.2065000     BAT
    -92.6080017      0.2425000      0.1095000      0.0276000      0.1067000      0.0566000      0.0989000      0.0322000      0.0934000      0.3589000      0.2047000     BAT
    -92.5439987      0.1509000      0.1008000     -0.0834000      0.1064000     -0.1597000      0.1041000      0.0365000      0.0921000     -0.0557000      0.2020000     BAT
    -92.4800034      0.1151000      0.1166000     -0.0827000      0.1107000     -0.1749000      0.1066000      0.0067000      0.0975000     -0.1358000      0.2162000     BAT
    -92.4160004     -0.3246000      0.1004000     -0.0357000      0.1116000      0.0193000      0.1045000      0.0303000      0.0889000     -0.3106000      0.2034000     BAT
    -92.3519974     -0.1567000      0.0978000      0.0515000      0.1070000      0.0298000      0.0965000     -0.0829000      0.0966000     -0.1582000      0.1992000     BAT
    -92.2880020     -0.2334000      0.1056000      0.0852000      0.1099000     -0.0365000      0.0875000     -0.0221000      0.0883000     -0.2068000      0.1966000     BAT
    -92.2239990      0.1576000      0.1175000     -0.0792000      0.1042000     -0.0087000      0.1074000      0.0819000      0.0929000      0.1517000      0.2117000     BAT
    -92.1600037      0.1526000      0.1153000     -0.0855000      0.1088000      0.1595000      0.0960000     -0.2103000      0.0975000      0.0163000      0.2094000     BAT
    -92.0960007     -0.0622000      0.1138000      0.0289000      0.1104000      0.0526000      0.0999000      0.0720000      0.0976000      0.0912000      0.2113000     BAT
    -92.0319977     -0.0274000      0.1086000     -0.2621000      0.1108000      0.0608000      0.1053000     -0.0297000      0.0953000     -0.2584000      0.2103000     BAT
    -91.9680023     -0.0821000      0.1146000     -0.0372000      0.1022000     -0.1926000      0.0976000      0.0663000      0.0952000     -0.2456000      0.2053000     BAT
    -91.9039993      0.1660000      0.1109000     -0.0559000      0.1072000      0.0199000      0.1016000      0.0044000      0.1056000      0.1342000      0.2128000     BAT
    -91.8399963      0.1167000      0.1179000      0.1382000      0.1109000     -0.0986000      0.1051000     -0.1174000      0.1017000      0.0389000      0.2182000     BAT
    -91.7760010     -0.0002000      0.1020000      0.0794000      0.1013000      0.1001000      0.1021000     -0.0926000      0.0730000      0.0868000      0.1908000     BAT
    -91.7119980     -0.0304000      0.0996000     -0.0464000      0.1111000      0.0756000      0.1125000      0.1419000      0.1052000      0.1407000      0.2144000     BAT
    -91.6480026      0.3164000      0.1109000      0.0731000      0.1045000     -0.0101000      0.1093000     -0.0828000      0.0888000      0.2966000      0.2074000     BAT
    -91.5839996      0.0226000      0.1093000      0.1780000      0.1154000      0.0138000      0.1031000      0.0202000      0.0981000      0.2347000      0.2134000     BAT
    -91.5199966      0.3190000      0.0987000     -0.0018000      0.1208000     -0.0470000      0.1050000      0.0110000      0.0908000      0.2812000      0.2088000     BAT
    -91.4560013      0.0670000      0.1131000     -0.1175000      0.0978000      0.1186000      0.1024000     -0.0915000      0.1002000     -0.0235000      0.2071000     BAT
    -91.3919983      0.0507000      0.1071000     -0.0771000      0.1138000     -0.0846000      0.0862000     -0.0867000      0.0881000     -0.1976000      0.1990000     BAT
    -91.3280029      0.0290000      0.1075000      0.1662000      0.1124000      0.1014000      0.0993000      0.0620000      0.0965000      0.3586000      0.2083000     BAT
    -91.2639999     -0.0566000      0.1185000     -0.1383000      0.0993000     -0.0208000      0.0964000     -0.0591000      0.0817000     -0.2749000      0.1997000     BAT
    -91.1999969     -0.1732000      0.1073000     -0.0982000      0.1081000     -0.0308000      0.0949000     -0.1073000      0.1014000     -0.4095000      0.2061000     BAT
    -91.1360016      0.1015000      0.1017000      0.1848000      0.1100000      0.0410000      0.0990000      0.0352000      0.1038000      0.3626000      0.2075000     BAT
    -91.0719986     -0.0448000      0.1046000      0.1105000      0.1162000      0.0148000      0.1064000      0.0285000      0.1043000      0.1090000      0.2160000     BAT
    -91.0080032      0.0436000      0.0951000     -0.2186000      0.1073000      0.0615000      0.0931000      0.0228000      0.0942000     -0.0907000      0.1951000     BAT
    -90.9440002     -0.0661000      0.1107000      0.0455000      0.1246000     -0.0049000      0.1002000     -0.1074000      0.0864000     -0.1329000      0.2128000     BAT
    -90.8799973      0.0333000      0.1127000      0.0211000      0.1051000      0.0340000      0.0964000     -0.0299000      0.1038000      0.0584000      0.2093000     BAT
    -90.8160019      0.1435000      0.1144000     -0.0381000      0.1104000      0.3704000      0.0961000      0.0712000      0.0894000      0.5469000      0.2061000     BAT
    -90.7519989      0.1656000      0.1039000      0.1042000      0.1156000      0.0667000      0.1051000     -0.0628000      0.0909000      0.2737000      0.2085000     BAT
    -90.6880035      0.1465000      0.1149000      0.0582000      0.1088000      0.0330000      0.1117000      0.0512000      0.0819000      0.2890000      0.2103000     BAT
    -90.6240005      0.0752000      0.1138000      0.1163000      0.1075000      0.0740000      0.1044000     -0.1094000      0.0832000      0.1561000      0.2058000     BAT
    -90.5599976     -0.0380000      0.1015000     -0.0130000      0.1066000     -0.0317000      0.1043000     -0.1453000      0.0930000     -0.2280000      0.2030000     BAT
    -90.4960022      0.0846000      0.1060000      0.0620000      0.1182000     -0.1469000      0.0958000     -0.0893000      0.0885000     -0.0895000      0.2055000     BAT
    -90.4319992     -0.0671000      0.1017000      0.0244000      0.1089000      0.0312000      0.0952000     -0.0181000      0.0895000     -0.0296000      0.1983000     BAT
    -90.3679962      0.0261000      0.1076000     -0.1169000      0.1155000     -0.0443000      0.1052000      0.0113000      0.1013000     -0.1238000      0.2150000     BAT
    -90.3040009     -0.0043000      0.0990000      0.0645000      0.1034000      0.0261000      0.1120000     -0.0129000      0.0944000      0.0734000      0.2048000     BAT
    -90.2399979     -0.1387000      0.1023000     -0.0528000      0.1001000      0.1356000      0.1036000      0.0478000      0.0970000     -0.0082000      0.2016000     BAT
    -90.1760025      0.0248000      0.1048000     -0.0837000      0.1071000      0.0325000      0.0972000     -0.0768000      0.0877000     -0.1032000      0.1990000     BAT
    -90.1119995      0.0644000      0.1023000      0.1762000      0.1097000     -0.0625000      0.0966000      0.0406000      0.1042000      0.2187000      0.2066000     BAT
    -90.0479965     -0.1410000      0.1050000      0.0191000      0.1035000     -0.0581000      0.1023000      0.0697000      0.0867000     -0.1104000      0.1993000     BAT
    -89.9840012     -0.0772000      0.1046000      0.0120000      0.1081000     -0.0365000      0.0963000      0.0751000      0.0900000     -0.0265000      0.2000000     BAT
    -89.9199982      0.1404000      0.1106000      0.0486000      0.1114000      0.0491000      0.1015000     -0.1288000      0.0934000      0.1093000      0.2090000     BAT
    -89.8560028     -0.0576000      0.1093000     -0.1332000      0.1085000      0.0036000      0.0944000      0.1823000      0.0875000     -0.0048000      0.2007000     BAT
    -89.7919998      0.0288000      0.1079000      0.0983000      0.0996000     -0.0599000      0.1082000     -0.0698000      0.0971000     -0.0026000      0.2066000     BAT
    -89.7279968     -0.0584000      0.1139000     -0.1597000      0.1145000      0.1293000      0.0940000      0.0387000      0.0958000     -0.0502000      0.2100000     BAT
    -89.6640015     -0.2154000      0.0979000     -0.0469000      0.1048000     -0.0857000      0.0912000     -0.0251000      0.0848000     -0.3731000      0.1900000     BAT
    -89.5999985     -0.0505000      0.1081000      0.1906000      0.1157000     -0.0405000      0.1032000      0.1605000      0.1046000      0.2601000      0.2160000     BAT
    -89.5360031      0.0407000      0.1133000     -0.1883000      0.1059000     -0.1175000      0.0987000     -0.1320000      0.0972000     -0.3970000      0.2079000     BAT
    -89.4720001     -0.0501000      0.1127000     -0.1371000      0.1155000     -0.0715000      0.0979000     -0.0871000      0.0949000     -0.3458000      0.2112000     BAT
    -89.4079971     -0.0855000      0.0994000      0.1640000      0.1104000     -0.0116000      0.1050000      0.0304000      0.0950000      0.0973000      0.2053000     BAT
    -89.3440018     -0.1753000      0.1145000      0.1530000      0.1066000     -0.0915000      0.0997000     -0.1319000      0.0873000     -0.2458000      0.2050000     BAT
    -89.2799988      0.0037000      0.1056000      0.2006000      0.1116000      0.0290000      0.1059000     -0.0597000      0.0969000      0.1736000      0.2103000     BAT
    -89.2160034     -0.1325000      0.1129000      0.0943000      0.1013000      0.0244000      0.0944000     -0.1484000      0.0942000     -0.1623000      0.2020000     BAT
    -89.1520004      0.0559000      0.1031000     -0.0862000      0.1092000      0.0242000      0.1021000     -0.0678000      0.0977000     -0.0740000      0.2062000     BAT
    -89.0879974      0.0839000      0.1092000      0.1052000      0.1113000     -0.0113000      0.1004000     -0.0700000      0.0929000      0.1077000      0.2075000     BAT
    -89.0240021     -0.2397000      0.1117000     -0.2028000      0.1102000     -0.0161000      0.1039000     -0.0554000      0.0887000     -0.5140000      0.2081000     BAT
    -88.9599991     -0.0807000      0.1152000     -0.0534000      0.1091000      0.1709000      0.1014000     -0.0023000      0.0985000      0.0345000      0.2125000     BAT
